Time,Detector Score,Classification,Classification Score,BirdVoxClassify Order,BirdVoxClassify Order Confidence,BirdVoxClassify Family,BirdVoxClassify Family Confidence,BirdVoxClassify Species,BirdVoxClassify Species Confidence
486.71,53.89521789550781,Call.Turdidae,99.83375668525696,Passeriformes,99.48158264160156,Turdidae,99.83375668525696,OTHE,78.74045372009277
491.94,64.95420837402344,Call.Turdidae,97.29831218719482,Passeriformes,90.74348211288452,Turdidae,97.29831218719482,OTHE,98.24935793876648
493.52,67.95040893554688,Call.Turdidae,99.86824989318848,Passeriformes,99.959397315979,Turdidae,99.86824989318848,OTHE,60.7919842004776
498.26,61.285194396972656,Call.SAVS,72.3061203956604,Passeriformes,99.97915029525757,Passerellidae,88.1964921951294,SAVS,72.3061203956604
501.96,50.92406463623047,Call.Turdidae,89.66532945632935,Passeriformes,99.97462630271912,Turdidae,89.66532945632935,OTHE,86.00899577140808
521.15,53.33122253417969,Call.Turdidae,81.19414448738098,Passeriformes,99.97267723083496,Turdidae,81.19414448738098,OTHE,98.66375029087067
546.91,74.44760131835938,Call.Parulidae,71.6432273387909,Passeriformes,99.96782541275024,Parulidae,71.6432273387909,OTHE,85.90517342090607
557.02,61.875160217285156,Call.Passerellidae,52.65551805496216,Passeriformes,99.05532598495483,Passerellidae,52.65551805496216,OTHE,84.39069986343384
564.77,60.563079833984375,Call.Turdidae,63.69393467903137,Passeriformes,98.5362708568573,Turdidae,63.69393467903137,OTHE,99.96062815189362
565.07,69.67041015625,Call.Turdidae,97.9726791381836,Passeriformes,99.18438792228699,Turdidae,97.9726791381836,OTHE,91.48765504360199
566.3,63.59867858886719,Call.Turdidae,99.25554990768433,Passeriformes,98.53374361991882,Turdidae,99.25554990768433,OTHE,93.10249984264374
566.84,55.93678283691406,Call.Turdidae,99.8436689376831,Passeriformes,98.49541187286377,Turdidae,99.8436689376831,OTHE,90.24313390254974
569.11,56.540103912353516,Call.Turdidae,98.67004752159119,Passeriformes,99.36128854751587,Turdidae,98.67004752159119,OTHE,93.26935708522797
571.09,53.92202377319336,Call.Turdidae,92.61312484741211,Passeriformes,99.29490089416504,Turdidae,92.61312484741211,OTHE,82.20751881599426
571.33,60.743873596191406,Call.Turdidae,90.59584140777588,Passeriformes,99.99834299087524,Turdidae,90.59584140777588,OTHE,98.62515926361084
573.6,99.98999786376953,Call.Passeriformes,99.73387718200684,Passeriformes,99.73387718200684,other,79.77697849273682,OTHE,79.77697849273682
574.98,64.11056518554688,Call.Turdidae,69.042307138443,Passeriformes,98.69256019592285,Turdidae,69.042307138443,OTHE,99.5692640542984
575.08,59.67536163330078,Call.SWTH,84.55585241317749,Passeriformes,96.00569009780884,Turdidae,98.5311508178711,SWTH,84.55585241317749
576.96,76.89894104003906,Call.Turdidae,97.02773094177246,Passeriformes,99.781334400177,Turdidae,97.02773094177246,OTHE,99.7372180223465
